year,months,organ,kind,number,numofpeople
113,6,土城分局,罰鍰,100,100
113,6,新店分局,罰鍰,354,354
113,6,蘆洲分局,罰鍰,144,144
113,6,三峽分局,罰鍰,76,76
113,6,樹林分局,罰鍰,23,23
113,6,汐止分局,罰鍰,24,24
113,6,淡水分局,罰鍰,90,90
113,6,瑞芳分局,罰鍰,0,0
113,6,金山分局,罰鍰,1,1
113,6,林口分局,罰鍰,26,26
113,6,總　　　計,没入攤架,0,0
113,6,板橋分局,没入攤架,0,0
113,6,海山分局,没入攤架,0,0
113,6,中和分局,没入攤架,0,0
113,6,永和分局,没入攤架,0,0
113,6,三重分局,没入攤架,0,0
113,6,新莊分局,没入攤架,0,0
113,6,土城分局,没入攤架,0,0
113,6,新店分局,没入攤架,0,0
113,6,蘆洲分局,没入攤架,0,0
113,6,三峽分局,没入攤架,0,0
113,6,樹林分局,没入攤架,0,0
113,6,汐止分局,没入攤架,0,0
113,6,淡水分局,没入攤架,0,0
113,6,瑞芳分局,没入攤架,0,0
113,6,金山分局,没入攤架,0,0
113,6,林口分局,没入攤架,0,0
113,6,總　　　計,拆除攤架,0,0
113,6,板橋分局,拆除攤架,0,0
113,6,海山分局,拆除攤架,0,0
113,6,中和分局,拆除攤架,0,0
113,6,永和分局,拆除攤架,0,0
113,6,三重分局,拆除攤架,0,0
113,6,新莊分局,拆除攤架,0,0
113,6,土城分局,拆除攤架,0,0
113,6,新店分局,拆除攤架,0,0
113,6,蘆洲分局,拆除攤架,0,0
113,6,三峽分局,拆除攤架,0,0
113,6,樹林分局,拆除攤架,0,0
113,6,汐止分局,拆除攤架,0,0
113,6,淡水分局,拆除攤架,0,0
113,6,瑞芳分局,拆除攤架,0,0
113,6,金山分局,拆除攤架,0,0
113,6,林口分局,拆除攤架,0,0
113,6,總　　　計,勸導,882,882
113,6,板橋分局,勸導,113,113
113,6,海山分局,勸導,40,40
113,6,中和分局,勸導,119,119
113,6,永和分局,勸導,0,0
113,6,三重分局,勸導,35,35
113,6,新莊分局,勸導,217,217
113,6,土城分局,勸導,172,172
113,6,新店分局,勸導,0,0
113,6,蘆洲分局,勸導,100,100
113,6,三峽分局,勸導,36,36
113,6,樹林分局,勸導,5,5
113,6,汐止分局,勸導,0,0
113,6,淡水分局,勸導,0,0
113,6,瑞芳分局,勸導,40,40
113,6,金山分局,勸導,5,5
113,6,林口分局,勸導,0,0
113,7,總　　　計,總計,2748,2748
113,7,板橋分局,總計,457,457
113,7,海山分局,總計,159,159
113,7,中和分局,總計,308,308
113,7,永和分局,總計,69,69
113,7,三重分局,總計,290,290
113,7,新莊分局,總計,378,378
113,7,土城分局,總計,209,209
113,7,新店分局,總計,315,315
113,7,蘆洲分局,總計,206,206
113,7,三峽分局,總計,95,95
113,7,樹林分局,總計,44,44
113,7,汐止分局,總計,25,25
113,7,淡水分局,總計,97,97
113,7,瑞芳分局,總計,41,41
113,7,金山分局,總計,8,8
113,7,林口分局,總計,47,47
113,7,總　　　計,罰鍰,1912,1912
113,7,板橋分局,罰鍰,348,348
113,7,海山分局,罰鍰,114,114
113,7,中和分局,罰鍰,164,164
113,7,永和分局,罰鍰,69,69
113,7,三重分局,罰鍰,255,255
113,7,新莊分局,罰鍰,157,157
113,7,土城分局,罰鍰,113,113
113,7,新店分局,罰鍰,315,315
113,7,蘆洲分局,罰鍰,110,110
113,7,三峽分局,罰鍰,57,57
113,7,樹林分局,罰鍰,39,39
113,7,汐止分局,罰鍰,25,25
113,7,淡水分局,罰鍰,97,97
113,7,瑞芳分局,罰鍰,1,1
113,7,金山分局,罰鍰,1,1
113,7,林口分局,罰鍰,47,47
113,7,總　　　計,没入攤架,0,0
113,7,板橋分局,没入攤架,0,0
113,7,海山分局,没入攤架,0,0
113,7,中和分局,没入攤架,0,0
113,7,永和分局,没入攤架,0,0
113,7,三重分局,没入攤架,0,0
113,7,新莊分局,没入攤架,0,0
113,7,土城分局,没入攤架,0,0
113,7,新店分局,没入攤架,0,0
113,7,蘆洲分局,没入攤架,0,0
113,7,三峽分局,没入攤架,0,0
113,7,樹林分局,没入攤架,0,0
113,7,汐止分局,没入攤架,0,0
113,7,淡水分局,没入攤架,0,0
113,7,瑞芳分局,没入攤架,0,0
113,7,金山分局,没入攤架,0,0
113,7,林口分局,没入攤架,0,0
113,7,總　　　計,拆除攤架,0,0
113,7,板橋分局,拆除攤架,0,0
113,7,海山分局,拆除攤架,0,0
113,7,中和分局,拆除攤架,0,0
113,7,永和分局,拆除攤架,0,0
113,7,三重分局,拆除攤架,0,0
113,7,新莊分局,拆除攤架,0,0
113,7,土城分局,拆除攤架,0,0
113,7,新店分局,拆除攤架,0,0
113,7,蘆洲分局,拆除攤架,0,0
113,7,三峽分局,拆除攤架,0,0
113,7,樹林分局,拆除攤架,0,0
113,7,汐止分局,拆除攤架,0,0
113,7,淡水分局,拆除攤架,0,0
113,7,瑞芳分局,拆除攤架,0,0
113,7,金山分局,拆除攤架,0,0
113,7,林口分局,拆除攤架,0,0
113,7,總　　　計,勸導,836,836
113,7,板橋分局,勸導,109,109
113,7,海山分局,勸導,45,45
113,7,中和分局,勸導,144,144
113,7,永和分局,勸導,0,0
113,7,三重分局,勸導,35,35
113,7,新莊分局,勸導,221,221
113,7,土城分局,勸導,96,96
113,7,新店分局,勸導,0,0
113,7,蘆洲分局,勸導,96,96
113,7,三峽分局,勸導,38,38
113,7,樹林分局,勸導,5,5
113,7,汐止分局,勸導,0,0
113,7,淡水分局,勸導,0,0
113,7,瑞芳分局,勸導,40,40
113,7,金山分局,勸導,7,7
113,7,林口分局,勸導,0,0
113,8,總　　　計,總計,3086,3086
113,8,板橋分局,總計,520,520
113,8,海山分局,總計,165,165
113,8,中和分局,總計,514,514
113,8,永和分局,總計,66,66
113,8,三重分局,總計,403,403
113,8,新莊分局,總計,400,400
113,8,土城分局,總計,233,233
113,8,新店分局,總計,267,267
113,8,蘆洲分局,總計,208,208
113,8,三峽分局,總計,66,66
113,8,樹林分局,總計,63,63
113,8,汐止分局,總計,31,31
113,8,淡水分局,總計,54,54
113,8,瑞芳分局,總計,47,47
113,8,金山分局,總計,9,9
113,8,林口分局,總計,40,40
113,8,總　　　計,罰鍰,2092,2092
113,8,板橋分局,罰鍰,351,351
113,8,海山分局,罰鍰,117,117
113,8,中和分局,罰鍰,251,251
113,8,永和分局,罰鍰,66,66
113,8,三重分局,罰鍰,365,365
113,8,新莊分局,罰鍰,174,174
113,8,土城分局,罰鍰,151,151
113,8,新店分局,罰鍰,267,267
113,8,蘆洲分局,罰鍰,124,124
113,8,三峽分局,罰鍰,34,34
113,8,樹林分局,罰鍰,58,58
113,8,汐止分局,罰鍰,31,31
113,8,淡水分局,罰鍰,54,54
