SITE_ID,Agency Codes,MINISTRY,AGENCY,STYPE,NAME,VENDOR_ID,HOTSPOT_ID,ZipCode,county,district,ADDR,LATITUDE,LONGITUDE,E-MINISTRY,E_AGENCY,E_STYPE,E_NAME,E_CITY,E_AREA,E_ADDR
TPEE004073,379670100G,臺北市政府,臺北市市場處,商圈市集,第一果菜批發市場-地號2214(4號門),,TAIFO,108,臺北市,萬華區,108臺北市萬華區萬大路533號1樓,121.4990595,25.0182537,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"First Fruits & Vegetables Wholesale Market,Land No.2214(Gate 4)",Taipei City,Wanhua District,"No. 533-1, Wanda Rd., Wanhua Dist., Taipei City 108 , Taiwan (R.O.C.)"
TPEE004074,379670100G,臺北市政府,臺北市市場處,商圈市集,第一果菜批發市場-地號2226,,TAIFO,108,臺北市,萬華區,108臺北市萬華區萬大路533號1樓,121.4991694,25.0183138,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"First Fruits & Vegetables Wholesale Market,Land No.226",Taipei City,Wanhua District,"No. 533-1, Wanda Rd., Wanhua Dist., Taipei City 108 , Taiwan (R.O.C.)"
TPEE004092,379680000A,臺北市政府,臺北市政府公務人員訓練中心,行政機關,公務人員訓練處警衛室,,TAIFO,116,臺北市,文山區,116臺北市文山區萬美街二段21巷20號,121.5608688,25.0033191,Taipei City Government,"Department of Civil Servant Development, Taipei City Government",Government Agency,Department of Civil Servant Development guard room,Taipei City,Wenshan District,"No. 20, Ln. 21, Sec. 2, Wanmei St., Wenshan Dist., Taipei City 116 , Taiwan (R.O.C.)"
TPEE004093,379590700E,臺北市政府,臺北市藝文推廣處,藝文場館,藝文處文山劇場B2F中控室,,TAIFO,116,臺北市,文山區,116臺北市文山區景文街32號B2F,121.5412683,24.9919578,Taipei City Government,"Department of Cultural Affairs,Taipei City Government",Art and Culture Facilities,Taipei City Arts Promotion Office Wenshan Theater B2F Central control room,Taipei City,Wenshan District,"B2F., No. 32, Jingwen St., Wenshan Dist., Taipei City?116?, Taiwan (R.O.C.)"
TPEE004094,379590700E,臺北市政府,臺北市藝文推廣處,藝文場館,藝文處文山劇場B2F大廳,,TAIFO,116,臺北市,文山區,116臺北市文山區景文街32號B2F,121.5412740,24.9919669,Taipei City Government,"Department of Cultural Affairs,Taipei City Government",Art and Culture Facilities,Taipei City Arts Promotion Office Theater B2F hall,Taipei City,Wenshan District,"B2F., No. 32, Jingwen St., Wenshan Dist., Taipei City?116?, Taiwan (R.O.C.)"
TPEE004095,379730000A,臺北市政府,臺北市政府資訊局,行政機關,臺北市政府大樓10F南區第一研討室,,TAIFO,110,臺北市,信義區,110臺北市信義區市府路1號10F,121.564542,25.037186,Taipei City Government,"Department of Information Technology, Taipei City Government",Government Agency,"Meeting Room 1 of South Wing on 10F,  Taipei City Hall",Taipei City,Xinyi District,"10F No.1,City Hall Rd.,Xinyi Dist.,Taipei City118,Taiwan,R.O.C."
TPEE004096,379730000A,臺北市政府,臺北市政府資訊局,行政機關,臺北市政府大樓10F南區第二研討室,,TAIFO,110,臺北市,信義區,110臺北市信義區市府路1號10F,121.564542,25.037186,Taipei City Government,"Department of Information Technology, Taipei City Government",Government Agency,"Meeting Room 2 of South Wing on 10F,  Taipei City Hall",Taipei City,Xinyi District,"10F No.1,City Hall Rd.,Xinyi Dist.,Taipei City118,Taiwan,R.O.C."
TPEE004097,379730000A,臺北市政府,臺北市政府資訊局,行政機關,臺北市政府大樓10F南區第五研討室,,TAIFO,110,臺北市,信義區,110臺北市信義區市府路1號10F,121.564542,25.037186,Taipei City Government,"Department of Information Technology, Taipei City Government",Government Agency,"Meeting Room 5 of South Wing on 10F,  Taipei City Hall",Taipei City,Xinyi District,"10F No.1,City Hall Rd.,Xinyi Dist.,Taipei City118,Taiwan,R.O.C."
TPEE004098,379460000A,臺北市政府,臺北市信義區公所,社區中心,松隆區民活動中心1F中央,,TAIFO,110,臺北市,信義區,110臺北市信義區松山路657號1F,121.5806440,25.0341205,Taipei City Government,"Xinyi District Office, Taipei City",Community Center,Songlong Community Center ceiling beams,Taipei City,Xinyi District,"No. 657-1, Songshan Rd., Xinyi Dist., Taipei City 110 , Taiwan (R.O.C.)"
TPEE004099,379730000A,臺北市政府,臺北市政府資訊局,行政機關,臺北市政府大樓10F中央區西北側隔間,,TAIFO,110,臺北市,信義區,110臺北市信義區市府路1號10F,121.564292,25.037621,Taipei City Government,"Department of Information Technology, Taipei City Government",Government Agency,"Northwest compartment of the Central District, 10F, Taipei City Government Building",Taipei City,Xinyi District,"10F No.1,City Hall Rd.,Xinyi Dist.,Taipei City118,Taiwan,R.O.C."
TPEE004100,379460000A,臺北市政府,臺北市信義區公所,行政機關,信義區行政大樓10F研考室,,TAIFO,110,臺北市,信義區,110臺北市信義區福德街86號10F研考室內,121.5826393,25.0378069,Taipei City Government,"Xinyi District Office, Taipei City",Government Agency,Xinyi Dist Administration Building 10F research room,Taipei City,Xinyi District,"10F., No. 86, Fude St., Xinyi Dist., Taipei City 110 , Taiwan (R.O.C.)Inside of research room"
TPEE004101,379460000A,臺北市政府,臺北市信義區公所,行政機關,信義區行政大樓13F大禮堂門口,,TAIFO,110,臺北市,信義區,110臺北市信義區福德街86號13F大禮堂,121.5817374,25.0375582,Taipei City Government,"Xinyi District Office, Taipei City",Government Agency,Xinyi Dist Administration Building 13F auditorium entrance,Taipei City,Xinyi District,"13F., No. 86, Fude St., Xinyi Dist., Taipei City 110 , Taiwan (R.O.C.) auditorium (above the door)"
